               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,    train/theta_loss,   metrics/precision,      metrics/recall,    metrics/HBBmAP.5,metrics/HBBmAP.5:.95,        val/box_loss,        val/obj_loss,        val/cls_loss,      val/theta_loss,               x/lr0,               x/lr1,               x/lr2
                  42,            0.028749,            0.011916,             0.01924,             0.11511,             0.27805,             0.47749,             0.32948,              0.1442,            0.030074,            0.039253,            0.020139,             0.11638,           0.0005122,           0.0005122,            0.049012
                  43,            0.028077,            0.012442,             0.01874,              0.1099,             0.29174,             0.69117,             0.39253,              0.1528,            0.030282,             0.03316,            0.019674,             0.11559,            0.000524,            0.000524,            0.047824
                  44,            0.027649,             0.01171,            0.019534,             0.11301,             0.59199,             0.74644,             0.55584,              0.2575,             0.02687,            0.029825,            0.019006,             0.11335,          0.00053579,          0.00053579,            0.046636
                  45,            0.030495,            0.011257,            0.019391,             0.11233,             0.62541,             0.77208,             0.58495,             0.26281,            0.030918,            0.028271,            0.018912,             0.11225,          0.00054757,          0.00054757,            0.045448
                  46,            0.028574,            0.011554,            0.019491,             0.11255,             0.55725,             0.75014,             0.61434,             0.21242,             0.02939,            0.028955,            0.018992,             0.11315,          0.00055934,          0.00055934,            0.044259
                  47,            0.028444,            0.011141,            0.018877,             0.11111,             0.65028,             0.59259,             0.56758,             0.23926,            0.028678,            0.036003,            0.021367,             0.11439,          0.00057109,          0.00057109,            0.043071
                  48,            0.029725,            0.011589,            0.018241,             0.11038,             0.49517,             0.83846,             0.67423,             0.25178,             0.02669,            0.029981,            0.019973,             0.10882,          0.00058284,          0.00058284,            0.041883
                  49,            0.028134,            0.011668,             0.01975,              0.1082,             0.43697,             0.82336,             0.53013,             0.25588,            0.026279,            0.036454,            0.018343,             0.10926,          0.00059458,          0.00059458,            0.040695
                  50,             0.02777,            0.012272,            0.019405,             0.10702,             0.68383,             0.55926,             0.49059,              0.1727,            0.031107,            0.051133,            0.024261,              0.1098,           0.0006063,           0.0006063,            0.039506
                  51,            0.028574,            0.011233,            0.018561,             0.10774,             0.39471,             0.83745,             0.51709,             0.17652,            0.027566,            0.037628,            0.021001,             0.10736,          0.00061802,          0.00061802,            0.038318
                  52,            0.030992,            0.011013,             0.01821,             0.10629,             0.41733,              0.7208,             0.51121,             0.17506,            0.031994,            0.048242,            0.020914,              0.1098,          0.00062972,          0.00062972,             0.03713
