               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,    train/theta_loss,   metrics/precision,      metrics/recall,    metrics/HBBmAP.5,metrics/HBBmAP.5:.95,        val/box_loss,        val/obj_loss,        val/cls_loss,      val/theta_loss,               x/lr0,               x/lr1,               x/lr2
                  51,            0.024048,           0.0062355,           0.0028131,             0.19319,              0.9615,             0.91987,              0.9366,             0.59239,            0.022369,            0.012982,           0.0026807,             0.19087,          0.00098042,          0.00098042,          0.00098042
                  52,            0.024742,           0.0062098,           0.0026354,             0.19227,                   0,                   0,                   0,                   0,            0.077995,            0.042544,             0.11088,             0.19461,          0.00097964,          0.00097964,          0.00097964
                  53,            0.023659,           0.0061397,           0.0023606,             0.19215,              0.6375,             0.50043,             0.54742,             0.33201,            0.030318,            0.031778,            0.015238,             0.19088,          0.00097884,          0.00097884,          0.00097884
                  54,            0.021971,           0.0056003,           0.0020756,             0.19153,             0.79091,             0.76774,             0.80144,             0.48374,            0.032528,            0.023556,            0.011757,             0.19053,          0.00097803,          0.00097803,          0.00097803
                  55,            0.021967,            0.005508,           0.0021606,               0.191,             0.83867,             0.62418,             0.77915,             0.36966,            0.041549,            0.015232,            0.015664,             0.19028,           0.0009772,           0.0009772,           0.0009772
                  56,            0.021441,           0.0054259,            0.001772,             0.19236,             0.24974,             0.22222,             0.23313,             0.15455,             0.05601,            0.030297,             0.05189,             0.19188,          0.00097635,          0.00097635,          0.00097635
                  57,            0.021228,            0.005026,           0.0016732,             0.19252,                0.25,            0.083333,             0.16666,             0.12129,            0.066617,            0.037544,            0.058992,              0.1928,          0.00097549,          0.00097549,          0.00097549
                  58,            0.022553,            0.005174,           0.0013387,             0.19132,             0.54243,             0.67613,             0.66759,             0.39507,            0.036915,            0.014285,            0.015731,             0.19132,          0.00097462,          0.00097462,          0.00097462
                  59,            0.021945,           0.0052321,           0.0012037,             0.19194,             0.82793,             0.96154,             0.92049,              0.4702,            0.020812,           0.0084314,          0.00084036,             0.19074,          0.00097373,          0.00097373,          0.00097373
                  60,            0.021402,           0.0050693,           0.0011434,             0.19181,              0.7575,             0.98059,             0.91638,             0.46505,            0.029396,           0.0098235,           0.0025491,             0.19078,          0.00097283,          0.00097283,          0.00097283
                  61,            0.024104,           0.0050662,           0.0012288,              0.1917,              0.9542,             0.92308,             0.95158,             0.44944,            0.020269,           0.0080112,          0.00055856,             0.19121,          0.00097191,          0.00097191,          0.00097191
